Player,Cap Hit (M$)
Brady Tkachuk,8.205714
Steven Stamkos,8.0
Gabriel Landeskog,7.0
Eeli Tolvanen,3.475
Luke Evangelista,3.0
Simon Benoit,1.35
Matt Roy,5.75
Sam Steel,2.1
Mathieu Joseph,2.95
Olen Zellweger,0.844167
Lian Bichsel,0.918333
Matias Maccelli,3.425
Jared Spurgeon,7.575
Lukas Reichel,1.2
Michael Bunting,4.5
Paul Cotter,0.775
Radek Faksa,2.0
Artyom Levshunov,0.975
Easton Cowan,0.8735
Fabian Zetterlund,4.275
Kirby Dach,3.3625
Michael Brandsegg-Nygard,0.9425
Fraser Minten,0.816666
Jake Middleton,0.775
Erik Cernak,5.2
Brandon Carlo,4.1
Corey Perry,2.0
Jeff Malott,0.775
Ben Hutton,0.975
Kevin Lankinen,4.5
Keegan Kolesar,2.5
Brett Kulak,2.75
Ondrej Palat,6.0
Conor Sheary,0.775
Yaroslav Askarov,2.0
Adin Hill,6.25
Alex Vlasic,4.6
Matt Grzelcyk,1.0
Ozzy Wiesblatt,0.775
Cody Glass,2.5
Cody Ceci,4.5
Casey Cizikas,2.5
Beck Malenstyn,1.35
Tyson Jost,0.775
Jamie Drysdale,2.3
Aatu Raty,0.775
Gage Goncalves,1.2
Jason Dickinson,4.25
Adam Pelech,5.75
Noah Philp,0.775
Michael Amadio,2.6
Caleb Jones,0.9
Adam Erne,0.775
Nick Robertson,0.775
Jack Drury,1.725
Ilya Lyubushkin,3.25
Cole Sillinger,2.25
Marcus Pettersson,5.5
Nick Foligno,4.5
Jonas Brodin,6.0
Brandon Duhaime,1.85
Luke Glendening,0.775
Arvid Soderblom,2.75
Matt Coronato,6.5
Darren Raddysh,0.975
Hendrix Lapierre,0.85
Philipp Kurashev,1.2
Alexander Wennberg,5.0
Filip Hallander,0.775
Calle Jarnkrok,2.1
Carson Soucy,3.25
Blake Lizotte,1.85
Axel Sandin Pellikka,0.918333
Warren Foegele,3.5
Samuel Honzek,0.886666
Maxwell Crozier,0.775
Adam Wilsby,0.775
Steven Lorentz,1.35
Nick Jensen,4.05
Michael Rasmussen,3.2
Luke Kunin,0.775
Jonas Siegenthaler,3.4
Cole Koepke,1.0
Barclay Goodrow,3.641667
Cayden Primeau,0.775
Maxim Shabanov,0.975
Harrison Brunicke,0.845833
Nils Lundkvist,1.25
Dante Fabbro,4.125
Jeff Petry,0.775
Ryan Poehling,1.9
Kasperi Kapanen,1.3
Jordan Harris,0.825
Jonathan Huberdeau,10.5
Michael Misa,0.975
Conor Geekie,0.886666
Yegor Chinakhov,2.1
Nicolas Daws,0.8125
Marcus Foligno,4.0
Nathan Bastian,0.775
Sam Montembeault,3.15
Pavel Mintyukov,0.918333
Brady Skjei,7.0
Timothy Liljegren,3.0
Jayden Struble,1.4125
Arshdeep Bains,0.775
Jacob Bernard-Docker,0.875
Linus Karlsson,0.775
Vincent Desharnais,2.0
Calvin Pickard,1.0
Berkly Catton,0.9425
Connor Zary,3.775
Reilly Smith,2.0
Luke Schenn,2.75
Ryan Lindgren,4.5
Mitchell Chaffee,0.8
Jonathan Quick,1.55
Matt Duchene,4.5
Niko Mikkola,2.5
Garnet Hathaway,2.4
Christopher Tanev,4.5
Ryan Winterton,0.828333
Matthew Robertson,0.775
Joel Hanley,1.75
Liam OBrien,1.0
John Klingberg,4.0
Tyler Kleven,1.6
Jesper Wallstedt,2.2
Colten Ellis,0.775
Cam Fowler,6.5
Yegor Sharangovich,5.75
Arber Xhekaj,1.3
Zach Bogosian,1.25
Noah Juulsen,0.9
Colin Blackwell,0.775
Samuel Ersson,1.45
Philip Broberg,4.580917
Alexander Romanov,6.25
Dmitri Simashev,0.95
James van Riemsdyk,0.775
Trevor van Riemsdyk,0.775
Jacob Markstrom,6.0
Zayne Parekh,0.9425
Gavin Brindley,0.95
Haydn Fleury,0.95
Brian Dumoulin,4.0
Max Domi,3.75
Alex Turcotte,0.775
Connor Murphy,4.4
Brandon Saad,2.0
Vinnie Hinostroza,0.775
Joonas Korpisalo,4.0
John Beecher,0.9
Drew OConnor,2.5
Olli Maatta,3.5
Devin Cooley,0.775
Connor Clifton,3.333333
Olle Lycksell,0.775
Ben Meyers,0.775
Petr Mrazek,4.25
Matthew Savoie,0.886666
Jonathan Lekkerimaki,0.918333
Trent Miner,0.775
Colton Sissons,2.857143
Oskar Sundqvist,1.5
Isac Lundestrom,1.3
Casey DeSmith,1.0
Matthew Wood,0.95
Ryan Greene,0.95
Jeffrey Viel,0.775
Daniil Tarasov,1.05
Isaac Howard,0.95
Maxim Tsyplakov,2.25
Emil Lilleberg,0.775
Teddy Blueger,1.8
Miles Wood,2.5
Matvei Gridin,0.9425
Egor Zamula,0.775
Cale Fleury,0.89
Nick Leddy,4.0
Curtis Lazar,0.775
Fedor Svechkov,0.775
Sam Colangelo,0.85
Frederick Gaudreau,2.1
Marshall Warren,0.825
Jake Bean,1.75
Joel Kiviranta,1.25
Brian Halonen,0.775
Carl Lindbom,0.84
Sean Durzi,6.0
Shakir Mukhamadullin,1.0
Brett Howden,2.5
Urho Vaakanainen,1.55
Uvis Balinskis,0.85
Ilya Solovyov,0.775
Cole Schwindt,0.825
Matt Murray,1.0
Cole Reinhardt,0.8125
Tyler Pitlick,0.775
Andrei Svechnikov,7.75
Declan Chisholm,1.6
Justin Kirkland,0.9
Jacob Bryson,0.9
Pierre-Luc Dubois,8.5
Arthur Kaliyev,0.775
Zakhar Bardakov,0.8675
Joe Veleno,0.775
Oskar Back,0.825
Alexandre Texier,2.1
Ethen Frank,0.775
Curtis Douglas,0.775
Alex Petrovic,0.775
Danila Yurov,0.95
Phillip Tomasino,0.775
Justin Hryckowian,0.87
Kailer Yamamoto,0.775
Dominic James,0.91
Nikolas Matinpalo,0.875
Charles-Alexis Legault,0.915833
Philipp Grubauer,5.9
Nicolas Hague,5.5
Adam Ginning,0.7875
Benjamin Jones,0.775
Brady Martin,0.975
Nikita Chibrikov,0.875833
Samuel Girard,5.0
Marat Khusnutdinov,0.925
Victor Mancini,0.87
Brayden Pachal,1.1875
Samuel Helenius,0.805833
Pierre-Olivier Joseph,0.775
Zach Metsa,0.775
Sam Dickinson,0.9425
Stefan Noesen,2.75
Landon Slaggert,0.9
Sonny Milano,1.9
Travis Hamonic,1.0
John Hayden,0.775
Justus Annunen,0.8375
Patrik Laine,8.7
Alexander Holtz,0.839725
Adam Boqvist,0.85
Marc Gatcomb,0.9
Jack Finley,0.775
Joe Labate,0.775
Vincent Trocheck,5.625
Noah Ostlund,0.775
Nikita Grebenkin,0.775
Ethan Del Mastro,0.855833
Derek Forbort,2.0
Zemgus Girgensons,0.85
Troy Stecher,0.7875
Michael Callahan,0.775
Josh Dunne,0.775
David Jiricek,0.918333
Joakim Kemell,0.886666
Vincent Iorio,0.814167
Mark Jankowski,0.8
Parker Ford,0.8125
Kurtis MacDermid,1.15
Josh Norris,0.775
Nick Blankenburg,0.775
Justin Danforth,1.8
Ryan Johnson,0.775
Erik Gudbranson,4.0
Jake Christiansen,0.975
Andrew Agozzino,0.775
Bradly Nadeau,0.918333
Liam Ohgren,0.886666
Joshua Roy,0.835
Evgenii Dadonov,1.0
Rodrigo Abols,0.8
Nicolas Deslauriers,1.75
Matt Kessel,0.775
Kyle MacLean,0.775
Nils Aman,0.825
Zack MacEwen,0.775
Mason Geertsen,0.775
Noah Hanifin,7.35
Ville Koivunen,0.805833
Jaccob Slavin,6.396062
Alec Regula,0.775
Charle-Edouard DAstous,0.775
Joel Nystrom,0.925
Dylan McIlrath,0.8
Hampus Lindholm,6.5
Elmer Soderblom,1.125
Daniil Miromanov,1.25
Mathew Dumba,0.775
Philippe Myers,0.85
Brennan Othmann,0.863333
Emil Andrae,0.903333
Alexei Toropchenko,0.775
Jonny Brodzinski,0.7875
Jack Ahcan,0.775
Joel Hofer,3.4
Ukko-Pekka Luukkonen,4.75
Mackenzie Blackwood,5.25
Matthew Tkachuk,9.5
Zach Hyman,5.5
Pyotr Kochetkov,2.0
Cole Perfetti,3.25
Aleksander Barkov,10.0
Joseph Woll,3.666667
Mats Zuccarello,4.125
Gabe Perreault,0.941667
James Hagens,0.775
Anton Frondell,0.975
Carter Hart,2.0
Jacob Fowler,0.923333
Porter Martone,0.775
Cole Hutson,0.775
Tij Iginla,0.9425
Carter Yakemchuk,0.9425
Rutger McGroarty,0.95
Caleb Desnoyers,0.775
Cayden Lindstrom,0.775
Dalibor Dvorsky,0.886666
Cole Eiserman,0.775
Kaapo Kakko,4.525
Calum Ritchie,0.918333
Roger McQueen,0.775
Sebastian Cossa,0.863334
Scott Morrow,0.916667
Jake OBrien,0.975
Michael Kesselring,1.4
Devon Levi,0.8125
Andrew Cristall,0.841666
Seamus Casey,0.95
Victor Eklund,0.975
Jamie Benn,1.0
David Reinbacher,0.886666
Oliver Moore,0.941667
Radim Mrtka,0.975
Michael Hage,0.775
Kevin Korchinski,0.918333
Brayden Yager,0.918333
Quentin Musty,0.886666
Carter Bear,0.975
Trey Augustine,0.775
Luca Cagnoni,0.895
Liam Greentree,0.9425
Braeden Cootes,0.975
Justin Carbonneau,0.975
Jett Luchanko,0.9425
Konsta Helenius,0.9425
Nate Danielson,0.886666
Ryker Evans,2.05
Tom Willander,0.95
Anton Silayev,0.775
Ilya Nabokov,0.975
Trevor Connelly,0.975
Ivan Miroshnichenko,0.95
Jackson Smith,0.775
Kashawn Aitcheson,0.775
Connor Ingram,1.95
Ilya Protas,0.856667
Martin Pospisil,1.0
Tanner Molendyk,0.886666
Alexander Zharovsky,0.775
Igor Chernyshov,0.934167
Cole Reschny,0.775
Daniil But,0.95
Joshua Ravensbergen,0.775
Matthew Poitras,0.87
Fabian Lysell,0.863334
Oliver Bonk,0.886666
Colby Barlow,0.886666
Michael Hrabal,0.775
Terik Parascak,0.9425
Tristan Luneau,0.865
Jack Nesbitt,0.775
Jagger Firkus,0.891666
Mikhail Yegorov,0.775
Lynden Lakovic,0.975
Pyotr Andreyanov,0.775
Cameron Reid,0.775
Zachary LHeureux,0.863334
Luca Del Bel Belluz,0.859999
Sacha Boisvert,0.775
Carter George,0.845833
Drew Commesso,0.925
Owen Pickering,0.886667
Nick Lardis,0.865
Hunter Brzustewicz,0.95
Cullen Potter,0.775
Nick Paul,3.15
Nikita Artamonov,0.775
Joel Blomqvist,0.886667
Maveric Lamoureux,0.886666
Riley Heidt,0.918333
Dennis Hildeby,0.841667
Adam Jiricek,0.9425
Isak Rosen,0.894167
Erik Portillo,0.783333
Eduard Sale,0.886666
Bill Zonnon,0.775
Malcolm Spence,0.775
Sergei Murashov,0.86111
Ivan Ryabkin,0.918333
Yegor Surin,0.775
Logan Hensler,0.775
Carson Rehkopf,0.891666
Jack Ivankovic,0.775
Sascha Boumedienne,0.775
Otto Stenberg,0.918333
Owen Beck,0.853333
Dmitri Buchelnikov,0.775
Roman Kantserov,0.775
Stian Solberg,0.9425
Ryker Lee,0.775
William Horcoff,0.775
Mikhail Gulyayev,0.775
Mason West,0.775
Cameron Schmidt,0.775
Jordan Dumais,0.859999
Jakob Pelletier,0.775
Scott Laughton,3.0
Alexei Medvedev,0.775
Adam Gajan,0.775
Lukas Dragicevic,0.891666
Dylan Samberg,5.75
Dean Letourneau,0.775
Adam Lowry,3.25
Niklas Kokko,0.891666
Filip Bystedt,0.918333
Yegor Zavragin,0.775
Cole Beaudoin,0.9425
Semyon Frolov,0.775
Marek Vanacker,0.9425
Emil Hemming,0.9425
Ryan Strome,5.0
Sam OReilly,0.931945
Teddy Stiga,0.775
Kasper Halttunen,0.876666
Andrew Basha,0.865
Mads Sogaard,0.775
Vaclav Nestrasil,0.775
L.J. Mooney,0.775
Henry Mews,0.775
Alexei Kolosov,0.925
Filip Mesar,0.886666
Henry Brzustewicz,0.775
Brendan Brisson,0.775
Lukas Cormier,0.775
Ethan Gauthier,0.833333
Ryder Ritchie,0.775
Denver Barkey,0.863333
David Edstrom,0.886666
Aron Kiviharju,0.775
Alex Pietrangelo,8.8
Nils Hoglander,3.0
Hampton Slukynsky,0.775
Carson Lambos,0.863334
Dylan Garand,0.775
William Moore,0.775
Thomas Bordeleau,0.775
David Goyette,0.891666
Xavier Bourgault,0.775
Alfons Freij,0.905833
Carson Bjarnason,0.85
Theo Lindstein,0.918333
Jack Murtagh,0.775
Alexandar Georgiev,0.825
Blake Fiddler,0.775
Sasha Pastujov,0.825
Elias Salomonsson,0.815
Ivan Fedotov,3.275
Charlie Stramel,0.775
Evan Gardner,0.870833
Milton Gastrin,0.975
Brett Berard,0.8675
Ben Danford,0.931945
Lenni Hameenaho,0.95
Oskar Olausson,0.863334
Felix Unger Sorum,0.803334
Beau Akey,0.831666
Corson Ceulemans,0.925
Artur Akhtyamov,0.851667
Nathan Gaucher,0.886666
Gleb Trikozov,0.8625
Topias Leinonen,0.886667
Jack Thompson,0.8
William Wallinder,0.925
Ryan Suzuki,0.775
Semyon Varlamov,2.75
Kieron Walton,0.858333
Alex Bump,0.95
Jack Devine,0.95
Ty Nelson,0.836667
Daniil Prokhorov,0.915
Erik Gustafsson,2.0
Damian Clara,0.846666
Christian Kyrou,0.878333
Matej Blumel,0.875
Ville Heinola,0.8
Tyler Boucher,0.863334
Topi Niemela,0.856667
Haoxi Wang,0.775
Rory Kerins,0.775
Reid Schaefer,0.886666
Sean Behrens,0.905833
Gracyn Sawchyn,0.846666
Eemil Vinni,0.775
Charlie Cerrato,0.775
Cameron Lund,0.941667
Koehn Ziemmer,0.816666
Victor Soderstrom,0.775
Florian Xhekaj,0.866667
Danil Gushchin,0.775
Jakob Ihs Wozniak,0.775
Jeremie Poirier,0.775
Etienne Morin,0.871666
Jacob Battaglia,0.931667
Tanner Howe,0.845833
EJ Emery,0.775
Ilya Samsonov,1.8
Zach Dean,0.8525
Lucas Pettersson,0.86905
Stanislav Svozil,0.825
Jayden Perron,0.775
Justin Poirier,0.775
Max Plante,0.775
Julius Miettinen,0.940833
Ivan Prosvetov,0.95
Anton Wahlberg,0.833333
Jaxson Stauber,0.775
Leo Sahlin Wallenius,0.94
Cole McKinney,0.775
Michael DiPietro,0.8125
Ivan Ivan,0.845
Adam Benak,0.775
Aiden Fink,0.775
Carter Amico,0.775
Artyom Duda,0.95
Samuel Poulin,0.775
Sergei Ivanov,0.775
Lucas Beckman,0.775
Luke Misa,0.775
Francesco Pinelli,0.845
Henry Thrun,1.0
Eric Nilson,0.775
Shai Buium,0.925
Filip Ekberg,0.775
Michal Pradel,0.775
Ryan Ufko,0.925
Carter Mazur,0.905833
Danny Nelson,0.775
Jack Williams,0.92375
Aydar Suniev,0.923333
Shane Vansaghi,0.775
Mattias Havelid,0.905
Dominik Badinka,0.8377
William Zellers,0.775
Rasmus Ristolainen,5.1
Luca Marrelli,0.838889
Vitali Kravtsov,0.775
Maxim Masse,0.775
Nolan Allan,0.825
Victor Ostman,0.87
Ryan Chesley,0.923333
Jesse Kiiskinen,0.923333
Nico Myatovic,0.896667
Caden Price,0.835556
Yegor Sidorov,0.865
Pavel Moysevich,0.775
Helge Grans,0.7875
Nathan Behm,0.775
Dmitry Kulikov,1.15
John Mustard,0.775
Scott Perunovich,0.775
Aatos Koivu,0.775
Kevin He,0.84
Marcus Gidlof,0.775
Samu Tuomaala,0.830833
Roby Jarventie,0.775
Vasili Ponomarev,0.775
Cooper Simpson,0.775
Zack Ostapchuk,0.825
Petteri Rimpinen,0.775
Adam Engstrom,0.896667
Zachary Jones,0.9
Sean Farrell,0.775
Nolan Foote,0.775
Eddie Genborg,0.775
Oscar Fisker Molgaard,0.891666
Kurban Limatov,0.775
Niko Huuhtanen,0.8675
Jacob Rombach,0.775
Noel Gunler,0.81375
Raphael Lavoie,0.775
Mike Benning,0.775
Calle Clang,0.775
Clay Stevenson,0.775
Theo Stockselius,0.775
Charlie Elick,0.906667
Jesse Pulkkinen,0.880833
Ethan Czata,0.931667
Dylan Duke,0.8675
Tristan Broz,0.925
Samuel Fagemo,0.775
Isaiah George,0.838333
Quinn Hutson,0.875
Amadeus Lombardi,0.838333
