"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*062k9*","Noah Laba","NYR","F","347","Olilapat","Minors","22","@VAN Tue 10:00PM","28.5","2.85","9%","-2.5%"
"*05gda*","Kent Johnson","CBJ","F","373","Pleka","Minors","23","@BUF Tue 6:45PM","26.5","3.31","70%","-2.1%"
"*03as8*","Nikolaj Ehlers","CAR","F","398","DJCarrot","Reserve","29","VGK Tue 6:30PM","25.5","3.19","88%","-1.6%"
"*03ec6*","Devon Toews","COL","D","404","Pouding_","Active","31","NJD Tue 9:00PM","25.5","2.55","74%","-2.7%"
"*039cg*","Sam Bennett","FLA","F","418","DaddyX23","Reserve","29","ANA Tue 7:00PM","24","2.4","76%","-3.1%"
"*05xrx*","Marco Kasper","DET","F","423","Pouding_","Minors","21","@STL Tue 8:15PM","24","2.67","58%","-5.3%"
"*04yn0*","Connor McMichael","WSH","F","424","DaddyX23","Reserve","24","@DAL Tue 8:30PM","24","2.67","56%","-4.6%"
"*04zp9*","Mavrik Bourque","DAL","F","419","DaddyX23","Minors","23","WSH Tue 8:30PM","24","2.67","34%","-4.4%"
"*04xjf*","Owen Power","BUF","D","432","DJCarrot","Reserve","22","CBJ Tue 6:45PM","23.5","2.94","62%","-3.6%"
"*04mx6*","Kaiden Guhle","MTL","D","436","DaddyX23","Inj Res","23","@SEA Tue 10:30PM","23","4.6","42%","-4%"
"*05gvo*","Matvei Michkov","PHI","F","447","Olilapat","Minors","20","PIT Tue 6:00PM","22.5","2.81","91%","-2%"
"*03dde*","Jake Walman","EDM","D","458","Fred_Lan","Active","29","UTA Tue 9:30PM","22","5.5","86%","-2.5%"
"*04kyh*","Brady Tkachuk","OTT","F","466","DJCarrot","Inj Res","26","@CHI Tue 8:45PM","21.5","7.17","97%","-0.4%"
"*06snb*","Benjamin Kindel","PIT","F","461","DJCarrot","Minors","18","@PHI Tue 6:00PM","21.5","2.69","27%","-3.2%"
"*05tas*","Olen Zellweger","ANA","D","475","Olilapat","Minors","22","@FLA Tue 7:00PM","21","2.62","50%","-4.9%"
"*060hp*","Lian Bichsel","DAL","D","468","MagicFac","Minors","21","WSH Tue 8:30PM","21","2.33","41%","-5.4%"
"*06axy*","Artyom Levshunov","CHI","D","482","Mando18","Minors","20","OTT Tue 8:45PM","20.5","2.56","53%","-3.8%"
