"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*04mdc*","Logan Thompson","WSH","G","46","Bigdawn","Active","28","@DAL Tue 8:30PM","65.75","10.96","96%","-0.6%"
"*03ece*","Igor Shesterkin","NYR","G","47","DaddyX23","Active","29","@VAN Tue 10:00PM","65.65","8.21","95%","0%"
"*05oxs*","Jakub Dobes","MTL","G","48","DaddyX23","Reserve","24","@SEA Tue 10:30PM","65.45","13.09","66%","-6.3%"
"*050rc*","Dmitry Voronkov","CBJ","F","51","Olilapat","Active","25","@BUF Tue 6:45PM","65","8.12","73%","-3.8%"
"*06cl1*","Emmitt Finnie","DET","F","49","Pleka","Minors","20","@STL Tue 8:15PM","65","7.22","59%","-6.2%"
"*01ud1*","Sergei Bobrovsky","FLA","G","52","MagicFac","Active","37","ANA Tue 7:00PM","64.6","8.08","95%","-0.1%"
"*01zs1*","Scott Wedgewood","COL","G","53","MagicFac","Active","33","NJD Tue 9:00PM","64.6","7.18","75%","-7.4%"
"*02yjj*","William Nylander","TOR","F","54","SamBleau","Reserve","29","CGY Tue 6:00PM","64.5","8.06","99%","-0.1%"
"*048x9*","Elias Pettersson","VAN","F","55","Doumi","Active","26","NYR Tue 10:00PM","63.5","6.35","95%","0%"
"*04zo0*","Pavel Dorofeyev","VGK","F","56","Pouding_","Active","25","@CAR Tue 6:30PM","63","7","97%","-1.2%"
"*03ra8*","Timo Meier","NJD","F","57","SamBleau","Active","29","@COL Tue 9:00PM","63","7","91%","-1.2%"
"*03rih*","Karel Vejmelka","UTA","G","58","Pleka","Active","29","@EDM Tue 9:30PM","62.9","8.99","88%","-2.2%"
"*03as7*","Thatcher Demko","VAN","G","59","Bigdawn","Active","29","NYR Tue 10:00PM","62.7","10.45","94%","-0.9%"
"*05tur*","Matthew Knies","TOR","F","61","Bigdawn","Active","23","CGY Tue 6:00PM","62.5","6.94","99%","-0.2%"
"*042t5*","Tage Thompson","BUF","F","62","Doumi","Active","27","CBJ Tue 6:45PM","62","6.89","100%","-0.1%"
"*031p0*","Jake Guentzel","TBL","F","63","Mando18","Active","31","@NSH Tue 7:45PM","61.5","6.83","99%","-0.1%"
"*03yg3*","Mikhail Sergachev","UTA","D","65","DaddyX23","Active","27","@EDM Tue 9:30PM","61","6.1","98%","-0.2%"
"*05kua*","Emil Heineman","NYI","F","64","Fred_Lan","Minors","23","@BOS Tue 7:15PM","61","7.62","45%","-5.7%"
"*02un4*","Connor McDavid","EDM","F","67","Pleka","Active","28","UTA Tue 9:30PM","60.5","6.05","100%","-0.1%"
"*05rjd*","Cutter Gauthier","ANA","F","66","DJCarrot","Active","21","@FLA Tue 7:00PM","60.5","7.56","84%","-1.9%"
"*03rmx*","Sebastian Aho","CAR","F","68","Fred_Lan","Active","28","VGK Tue 6:30PM","60","7.5","99%","-0.1%"
"*02fzm*","Filip Forsberg","NSH","F","69","Doumi","Active","31","TBL Tue 7:45PM","60","6","98%","-0.4%"
"*02422*","Ryan Nugent-Hopkins","EDM","F","71","Boeuf_","Active","32","UTA Tue 9:30PM","60","6","94%","-1.4%"
"*05m17*","Frank Nazar","CHI","F","72","Bigdawn","Active","21","OTT Tue 8:45PM","59.5","6.61","87%","-3.7%"
"*05r1c*","Juraj Slafkovsky","MTL","F","78","Olilapat","Active","21","@SEA Tue 10:30PM","58.5","5.85","89%","-1.9%"
"*0457k*","Jake Oettinger","DAL","G","79","Pouding_","Active","26","WSH Tue 8:30PM","57.7","8.24","99%","0%"
"*03jvu*","Mitch Marner","VGK","F","80","MagicFac","Active","28","@CAR Tue 6:30PM","57.5","6.39","99%","-0.2%"
"*05gtp*","Dawson Mercer","NJD","F","81","Pleka","Reserve","24","@COL Tue 9:00PM","57.5","6.39","61%","-7.6%"
"*059e0*","Jake Sanderson","OTT","D","85","Mando18","Active","23","@CHI Tue 8:45PM","57","5.7","99%","0%"
"*03zul*","Filip Gustavsson","MIN","G","83","Fred_Lan","Active","27","WPG Tue 8:00PM","57","8.14","98%","-0.8%"
"*03as9*","Dylan Strome","WSH","F","86","MagicFac","Reserve","28","@DAL Tue 8:30PM","57","6.33","98%","-0.8%"
"*051v4*","Arturs Silovs","PIT","G","88","Olilapat","Active","24","@PHI Tue 6:00PM","56.55","11.31","54%","-7.2%"
"*03dms*","Kevin Fiala","LAK","F","89","SamBleau","Active","29","@SJS Tue 11:00PM","56.5","5.65","96%","-0.2%"
"*0457f*","Nico Hischier","NJD","F","90","Bigdawn","Active","26","@COL Tue 9:00PM","56","6.22","98%","-0.3%"
"*03rae*","Joel Eriksson Ek","MIN","F","91","Pouding_","Active","28","WPG Tue 8:00PM","55.5","5.55","90%","-1.4%"
"*03l0t*","Pavel Zacha","BOS","F","93","Bigdawn","Reserve","28","NYI Tue 7:15PM","55.5","5.05","60%","-6.4%"
"*051tx*","Aliaksei Protas","WSH","F","95","Doumi","Reserve","24","@DAL Tue 8:30PM","55","6.11","90%","-2.4%"
"*02b3o*","Rickard Rakell","PIT","F","96","SamBleau","Active","32","@PHI Tue 6:00PM","55","6.11","84%","-5%"
"*02noq*","Mike Matheson","MTL","D","94","Mando18","Active","31","@SEA Tue 10:30PM","55","5.5","83%","-3.5%"
"*03mqg*","Jakob Chychrun","WSH","D","99","MagicFac","Active","27","@DAL Tue 8:30PM","53.5","5.94","96%","-0.2%"
"*05y3a*","Leo Carlsson","ANA","F","98","Mando18","Minors","20","@FLA Tue 7:00PM","53.5","6.69","85%","-2.6%"
"*05r1l*","William Eklund","SJS","F","100","Doumi","Minors","23","LAK Tue 11:00PM","53.5","5.94","84%","-1.1%"
"*02ybn*","Josh Morrissey","WPG","D","102","Pleka","Active","30","@MIN Tue 8:00PM","53","5.89","99%","0%"
"*03161*","Darnell Nurse","EDM","D","103","MagicFac","Active","30","UTA Tue 9:30PM","53","5.3","76%","-1.1%"
"*05wwg*","Lane Hutson","MTL","D","106","Bigdawn","Active","21","@SEA Tue 10:30PM","52.5","5.25","100%","0%"
"*05r50*","Mackie Samoskevich","FLA","F","108","Boeuf_","Minors","22","ANA Tue 7:00PM","52.5","5.25","52%","-5.9%"
"*01c13*","Victor Hedman","TBL","D","109","Pleka","Active","34","@NSH Tue 7:45PM","52","5.78","99%","-0.2%"
"*004cq*","Alex Ovechkin","WSH","F","111","SamBleau","Reserve","40","@DAL Tue 8:30PM","52","5.78","95%","-0.3%"
"*04zj5*","JJ Peterka","UTA","F","112","Bigdawn","Minors","23","@EDM Tue 9:30PM","52","5.2","87%","-1.3%"
"*042w4*","Adam Fox","NYR","D","115","DJCarrot","Active","27","@VAN Tue 10:00PM","51.5","5.15","100%","-0.1%"
"*03rfl*","Anthony Cirelli","TBL","F","114","Boeuf_","Active","28","@NSH Tue 7:45PM","51.5","5.72","54%","-4.2%"
"*051wf*","Dustin Wolf","CGY","G","116","Pouding_","Active","24","@TOR Tue 6:00PM","51.25","5.69","95%","-1.7%"
"*04y4m*","Connor Bedard","CHI","F","117","Olilapat","Active","20","OTT Tue 8:45PM","51","5.67","100%","0%"
"*015pv*","John Carlson","WSH","D","118","Boeuf_","Active","35","@DAL Tue 8:30PM","51","5.67","95%","-0.5%"
"*03rf2*","Roope Hintz","DAL","F","119","Pleka","Active","28","WSH Tue 8:30PM","51","6.38","95%","-1.1%"
"*03d09*","Alex Tuch","BUF","F","120","Fred_Lan","Active","29","CBJ Tue 6:45PM","51","5.67","95%","-0.6%"
"*04lo0*","Quinton Byfield","LAK","F","121","MagicFac","Active","23","@SJS Tue 11:00PM","50.5","5.05","93%","-1.6%"
"*02wy5*","Nikita Zadorov","BOS","D","122","SamBleau","Active","30","NYI Tue 7:15PM","50.5","4.59","50%","-5.4%"
"*03rad*","Thomas Chabot","OTT","D","124","Bigdawn","Active","28","@CHI Tue 8:45PM","50","5","86%","-0.8%"
"*02yjp*","Ivan Barbashev","VGK","F","123","Boeuf_","Active","29","@CAR Tue 6:30PM","50","5.56","66%","-4.2%"
"*06gk0*","Matthew Schaefer","NYI","D","127","SamBleau","Active","18","@BOS Tue 7:15PM","49.5","6.19","96%","-1.3%"
"*04yqp*","Anton Lundell","FLA","F","126","Boeuf_","Reserve","24","ANA Tue 7:00PM","49.5","4.95","70%","-5.2%"
"*025me*","Brenden Dillon","NJD","D","125","DaddyX23","Active","34","@COL Tue 9:00PM","49.5","5.5","35%","-5.8%"
"*03rfo*","Daniel Vladar","PHI","G","128","Olilapat","Active","28","PIT Tue 6:00PM","49.35","9.87","38%","-6.2%"
"*03v70*","Alex DeBrincat","DET","F","129","Boeuf_","Reserve","27","@STL Tue 8:15PM","49","5.44","96%","-1.1%"
"*04f24*","Jeremy Swayman","BOS","G","131","Mando18","Active","26","NYI Tue 7:15PM","48.6","6.94","86%","-2.3%"
"*03yh8*","Owen Tippett","PHI","F","132","DaddyX23","Active","26","PIT Tue 6:00PM","48.5","6.06","64%","-3.5%"
"*04yu5*","Thomas Harley","DAL","D","135","Boeuf_","Active","24","WSH Tue 8:30PM","48","5.33","99%","-0.2%"
"*02azf*","Dougie Hamilton","NJD","D","134","Fred_Lan","Active","32","@COL Tue 9:00PM","48","5.33","92%","-0.5%"
"*05gd9*","Zack Bolduc","MTL","F","133","SamBleau","Active","22","@SEA Tue 10:30PM","48","4.8","63%","-7.4%"
"*016g3*","Erik Karlsson","PIT","D","136","Doumi","Active","35","@PHI Tue 6:00PM","47.5","4.75","84%","+0.1%"
"*059e5*","Jake Neighbours","STL","F","137","Fred_Lan","Active","23","DET Tue 8:15PM","47.5","5.94","66%","-6.2%"
"*05tcz*","Oliver Kapanen","MTL","F","139","MagicFac","Minors","22","@SEA Tue 10:30PM","47","4.7","32%","-4.7%"
"*02un5*","Sam Reinhart","FLA","F","142","Pleka","Active","29","ANA Tue 7:00PM","46.5","4.65","99%","-0.2%"
"*02aez*","J.T. Miller","NYR","F","141","Doumi","Reserve","32","@VAN Tue 10:00PM","46.5","4.65","99%","-0.3%"
"*04y8g*","Trevor Zegras","PHI","F","144","Bigdawn","Reserve","24","PIT Tue 6:00PM","46.5","5.81","68%","-2.3%"
"*064r2*","Ivan Demidov","MTL","F","146","DJCarrot","Active","19","@SEA Tue 10:30PM","46","4.6","96%","-0.4%"
"*03ebi*","Elvis Merzlikins","CBJ","G","150","Mando18","Active","31","@BUF Tue 6:45PM","45.6","11.4","40%","-3.6%"
"*03ra7*","Zach Werenski","CBJ","D","157","MagicFac","Active","28","@BUF Tue 6:45PM","45.5","5.69","100%","-0.1%"
"*02uws*","Mathew Barzal","NYI","F","152","Pouding_","Active","28","@BOS Tue 7:15PM","45.5","5.69","86%","-0.2%"
"*0644b*","Will Smith","SJS","F","161","DJCarrot","Reserve","20","LAK Tue 11:00PM","45","5","80%","-3.2%"
"*042vx*","Filip Hronek","VAN","D","159","Doumi","Reserve","27","NYR Tue 10:00PM","45","4.5","67%","-4.5%"
"*05lu8*","Alexander Nikishin","CAR","D","163","Doumi","Active","24","VGK Tue 6:30PM","44.5","5.56","92%","-1.9%"
"*04qyv*","Lukas Dostal","ANA","G","165","DJCarrot","Active","25","@FLA Tue 7:00PM","44.45","7.41","79%","-2.2%"
"*03yxp*","Stuart Skinner","EDM","G","170","SamBleau","Active","26","UTA Tue 9:30PM","43.5","7.25","88%","-2.7%"
"*05ymj*","Jimmy Snuggerud","STL","F","171","Fred_Lan","Active","21","DET Tue 8:15PM","43.5","4.83","70%","-4.2%"
"*0644f*","Ryan Leonard","WSH","F","174","DaddyX23","Minors","20","@DAL Tue 8:30PM","43","4.78","57%","-3.6%"
"*05k8c*","Tyson Foerster","PHI","F","172","MagicFac","Minors","23","PIT Tue 6:00PM","43","5.38","39%","-3.5%"
"*03wpm*","Charlie McAvoy","BOS","D","176","Pleka","Active","27","NYI Tue 7:15PM","42.5","3.86","93%","-0.5%"
"*04lbz*","Quinn Hughes","VAN","D","179","Doumi","Active","26","NYR Tue 10:00PM","42","4.67","100%","0%"
"*03w5m*","Gabriel Vilardi","WPG","F","181","Doumi","Reserve","26","@MIN Tue 8:00PM","42","4.67","86%","-2.7%"
"*05gd8*","Mason McTavish","ANA","F","180","Mando18","Minors","22","@FLA Tue 7:00PM","42","5.25","81%","-2.7%"
"*05tv0*","Jackson Blake","CAR","F","177","Olilapat","Reserve","22","VGK Tue 6:30PM","42","5.25","48%","-5.9%"
"*02np7*","Anthony Stolarz","TOR","G","184","Boeuf_","Active","31","CGY Tue 6:00PM","41.65","5.95","93%","-2.8%"
"*02oar*","Linus Ullmark","OTT","G","185","Doumi","Active","32","@CHI Tue 8:45PM","41.6","5.2","88%","-0.7%"
"*02nq3*","Shayne Gostisbehere","CAR","D","186","DJCarrot","Active","32","VGK Tue 6:30PM","41.5","8.3","95%","-1.3%"
"*03raf*","Brock Boeser","VAN","F","190","Pleka","Reserve","28","NYR Tue 10:00PM","41","5.12","75%","-2.4%"
"*04znw*","Brandt Clarke","LAK","D","193","MagicFac","Active","22","@SJS Tue 11:00PM","40.5","4.05","72%","-3.5%"
"*05kbn*","Will Cuylle","NYR","F","194","Olilapat","Active","23","@VAN Tue 10:00PM","40.5","4.05","62%","-5.7%"
"*04zb4*","Moritz Seider","DET","D","198","Pouding_","Active","24","@STL Tue 8:15PM","40","4.44","97%","-1%"
"*03bfj*","Artemi Panarin","NYR","F","203","Pleka","Active","33","@VAN Tue 10:00PM","39.5","3.95","98%","-0.5%"
"*04ld3*","Noah Dobson","MTL","D","200","DaddyX23","Active","25","@SEA Tue 10:30PM","39.5","3.95","95%","-0.5%"
"*04o0g*","Marco Rossi","MIN","F","204","Boeuf_","Reserve","24","WPG Tue 8:00PM","39.5","4.39","74%","-3.5%"
"*05ylt*","Zach Benson","BUF","F","199","Doumi","Minors","20","CBJ Tue 6:45PM","39.5","6.58","63%","-7.3%"
"*04ad7*","Rasmus Dahlin","BUF","D","206","Doumi","Active","25","CBJ Tue 6:45PM","39","4.33","99%","-0.1%"
"*042vl*","Jordan Kyrou","STL","F","214","MagicFac","Reserve","27","DET Tue 8:15PM","38.5","4.28","91%","-0.8%"
"*05r1i*","Matty Beniers","SEA","F","212","Pleka","Minors","22","MTL Tue 10:30PM","38.5","4.28","54%","-5.2%"
"*04r01*","Akira Schmid","VGK","G","215","MagicFac","Minors","25","@CAR Tue 6:30PM","38.35","7.67","46%","-6.9%"
