"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","G","A","+/-","SOG","PPP","SHP","Hit","Blk"
"*04dwj*","Jason Robertson","DAL","F","49","Bigdawn","Reserve","26","","101","6.31","100%","-0.1%","16","3","11","-1","63","9","0","9","9"
"*0644b*","Will Smith","SJS","F","51","DJCarrot","Active","20","","97.5","6.09","86%","+4.9%","16","6","10","10","34","3","0","6","6"
"*042yb*","Brandon Hagel","TBL","F","53","DJCarrot","Reserve","27","","97","6.47","98%","+0.8%","15","7","7","5","44","3","0","11","8"
"*051lz*","Shane Pinto","OTT","F","55","Olilapat","Active","24","","97","6.06","82%","0%","16","8","6","3","43","0","1","16","10"
"*031og*","Tyler Bertuzzi","CHI","F","52","MagicFac","Reserve","30","","97","6.47","54%","+22.2%","15","9","5","2","32","7","0","17","0"
"*05kua*","Emil Heineman","NYI","F","54","Fred_Lan","Reserve","23","@NJD Mon 7:00PM","97","6.47","51%","+2.2%","15","6","4","6","34","1","0","56","5"
"*03jvu*","Mitch Marner","VGK","F","57","MagicFac","Active","28","FLA Mon 10:00PM","95.5","6.82","99%","-0.1%","14","4","14","9","25","3","0","7","8"
"*04mtp*","Dylan Cozens","OTT","F","56","Bigdawn","Active","24","","95.5","5.97","88%","-1.5%","16","6","6","-9","34","7","0","50","8"
"*042t5*","Tage Thompson","BUF","F","58","Doumi","Active","28","","95","6.33","100%","-0.1%","15","6","6","-6","61","4","0","23","10"
"*050rc*","Dmitry Voronkov","CBJ","F","60","Olilapat","Active","25","@EDM Mon 8:30PM","94.5","6.75","74%","-1.1%","14","6","7","10","33","1","0","30","1"
"*03v70*","Alex DeBrincat","DET","F","61","Boeuf_","Reserve","27","","94","5.88","97%","+0.1%","16","4","11","-2","62","6","0","2","4"
"*04f2d*","Drake Batherson","OTT","F","63","Pleka","Reserve","27","","93.5","7.19","96%","+0.5%","13","5","11","3","25","5","0","21","4"
"*03mn8*","Clayton Keller","UTA","F","65","Doumi","Active","27","","93","5.81","100%","-0.1%","16","6","9","2","46","5","0","2","5"
"*038vb*","Travis Konecny","PHI","F","66","Boeuf_","Reserve","28","","93","6.2","94%","+1.3%","15","5","8","4","37","2","0","26","11"
"*04o0h*","Dylan Guenther","UTA","F","68","Olilapat","Active","22","","92.5","5.78","99%","-0.1%","16","6","7","1","52","3","0","15","5"
"*03ra7*","Zach Werenski","CBJ","D","69","MagicFac","Active","28","@EDM Mon 8:30PM","92","6.57","100%","+0.1%","14","4","6","9","51","3","0","8","22"
"*031p0*","Jake Guentzel","TBL","F","71","Mando18","Active","31","","91","6.07","99%","-0.1%","15","6","9","0","41","4","0","5","10"
"*03ra8*","Timo Meier","NJD","F","72","SamBleau","Active","29","NYI Mon 7:00PM","90.5","6.03","91%","-0.3%","15","4","7","2","47","4","0","27","9"
"*05r1c*","Juraj Slafkovsky","MTL","F","74","Olilapat","Reserve","21","","90.5","6.03","90%","+0.4%","15","6","3","5","34","6","0","27","14"
"*03l0t*","Pavel Zacha","BOS","F","75","Bigdawn","Reserve","28","","90.5","5.32","66%","+3.4%","17","4","10","4","25","7","0","19","8"
"*03dms*","Kevin Fiala","LAK","F","80","SamBleau","Active","29","","88.5","5.53","95%","-0.7%","16","7","5","-5","54","6","0","9","6"
"*04y8g*","Trevor Zegras","PHI","F","82","Bigdawn","Reserve","24","","88.5","5.9","88%","+3.8%","15","4","12","0","29","8","0","7","5"
"*02yjp*","Ivan Barbashev","VGK","F","79","Boeuf_","Active","29","FLA Mon 10:00PM","88.5","6.32","72%","+4.4%","14","6","9","6","24","0","0","24","3"
"*05ui2*","Logan Cooley","UTA","F","83","Pouding_","Active","21","","88","5.5","99%","-0.3%","16","8","5","1","29","4","0","16","7"
"*02ybn*","Josh Morrissey","WPG","D","85","Pleka","Active","30","","87.5","5.83","100%","0%","15","2","11","8","29","2","0","10","28"
"*04zo0*","Pavel Dorofeyev","VGK","F","84","Pouding_","Active","25","FLA Mon 10:00PM","87.5","6.25","97%","-0.5%","14","10","1","-1","40","7","0","5","5"
"*05lu8*","Alexander Nikishin","CAR","D","88","Doumi","Active","24","","87","5.8","94%","+0.5%","15","2","6","14","26","0","0","43","21"
"*03rae*","Joel Eriksson Ek","MIN","F","87","Pouding_","Reserve","28","","87","5.12","88%","-0.9%","17","2","9","-5","51","5","0","32","12"
"*03d09*","Alex Tuch","BUF","F","91","Fred_Lan","Reserve","29","","86.5","5.77","96%","+0.1%","15","6","8","1","35","0","1","7","18"
"*03mqg*","Jakob Chychrun","WSH","D","90","MagicFac","Active","27","","86.5","5.77","96%","0%","15","3","7","9","48","2","0","16","13"
"*042ye*","Jesper Bratt","NJD","F","92","Pouding_","Active","27","NYI Mon 7:00PM","86","5.73","100%","-0.1%","15","5","9","0","30","4","1","19","4"
"*04an5*","Miro Heiskanen","DAL","D","94","DJCarrot","Active","26","","86","5.38","98%","+1.5%","16","3","11","-5","36","6","0","4","28"
"*03as9*","Dylan Strome","WSH","F","98","MagicFac","Active","28","","85.5","6.58","97%","-0.2%","13","4","10","10","30","4","0","4","5"
"*06gk0*","Matthew Schaefer","NYI","D","101","SamBleau","Active","18","@NJD Mon 7:00PM","84.5","5.63","96%","+0.3%","15","5","6","1","45","5","0","6","15"
"*048x9*","Elias Pettersson","VAN","F","100","Doumi","Active","26","","84.5","4.97","94%","-0.5%","17","3","8","-2","28","4","0","18","37"
"*02b70*","Nikita Kucherov","TBL","F","102","DJCarrot","Active","32","","83.5","6.42","100%","0%","13","7","7","-2","39","5","0","2","3"
"*03m26*","Conor Garland","VAN","F","104","DaddyX23","Active","29","","82","5.86","64%","-1.3%","14","4","8","5","39","4","0","8","7"
"*059e0*","Jake Sanderson","OTT","D","106","Mando18","Reserve","23","","81","5.06","100%","0%","16","3","8","-2","37","6","0","6","27"
"*05m17*","Frank Nazar","CHI","F","105","Bigdawn","Inj Res","21","","81","5.4","87%","-1.7%","15","5","6","3","31","3","1","11","16"
"*03w5m*","Gabriel Vilardi","WPG","F","112","Fred_Lan","Active","26","","80","5.33","90%","+0.7%","15","5","8","1","37","4","0","5","6"
"*03rad*","Thomas Chabot","OTT","D","111","Bigdawn","Active","28","","80","5","88%","+0.6%","16","2","8","6","19","4","1","11","35"
