"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","G","A","+/-","SOG","PPP","SHP","Hit","Blk"
"*02wy7*","Pavel Buchnevich","STL","F","390","Mando18","Reserve","30","","43.5","2.72","61%","-3.9%","16","2","5","-9","28","4","0","10","5"
"*02g00*","Aaron Ekblad","FLA","D","404","Fred_Lan","Active","29","@VGK Mon 10:00PM","41.5","2.77","85%","-4.4%","15","1","3","-3","24","1","0","13","21"
"*02nq3*","Shayne Gostisbehere","CAR","D","416","DJCarrot","Active","32","","40.5","6.75","94%","-1.3%","6","1","6","8","6","1","0","2","8"
"*04xjf*","Owen Power","BUF","D","419","DJCarrot","Reserve","22","","40.5","2.89","60%","-1.4%","14","2","4","-5","20","0","2","8","13"
"*01zu8*","John Klingberg","SJS","D","417","Fred_Lan","Active","33","","40.5","4.05","45%","+1.2%","10","2","3","-1","13","3","0","10","13"
"*060hp*","Lian Bichsel","DAL","D","423","MagicFac","Minors","21","","40","2.5","39%","-1.6%","16","0","1","0","7","0","0","47","20"
"*05ran*","Matt Coronato","CGY","F","428","Boeuf_","Minors","22","","39.5","2.47","48%","-2.5%","16","3","3","-13","42","2","0","2","7"
"*04zp9*","Mavrik Bourque","DAL","F","436","DaddyX23","Minors","23","","39","2.44","32%","-1%","16","2","3","-6","28","2","0","8","10"
"*04ldb*","Bowen Byram","BUF","D","452","Olilapat","Active","24","","37.5","2.5","53%","-0.7%","15","1","4","-6","16","2","0","11","20"
"*060jl*","Jiri Kulich","BUF","F","453","Olilapat","Minors","21","","37.5","3.12","36%","-1.1%","12","3","2","-4","20","0","0","9","12"
"*01fx3*","Roman Josi","NSH","D","474","Doumi","Inj Res","35","@NYR Mon 7:00PM","35","4.38","95%","-0.8%","8","1","4","-4","19","2","0","4","15"
"*04yn0*","Connor McMichael","WSH","F","486","DaddyX23","Reserve","24","","33.5","2.23","52%","-3.2%","15","1","3","-2","29","1","0","5","6"
"*060jj*","Jani Nyman","SEA","F","494","Pouding_","Minors","21","","32.5","2.71","25%","-0.6%","12","3","0","2","13","1","0","13","2"
"*06bap*","Easton Cowan","TOR","F","510","DJCarrot","Minors","20","","31","2.82","39%","-0.7%","11","1","3","1","15","0","0","13","4"
"*03as6*","Jared McCann","SEA","F","522","Fred_Lan","Active","29","","30.5","6.1","76%","-0.6%","5","3","1","0","14","0","0","7","4"
"*03wpo*","Dante Fabbro","CBJ","D","519","Bigdawn","Active","27","@EDM Mon 8:30PM","30.5","2.18","12%","-0.8%","14","1","2","-3","14","0","0","4","27"
"*067xz*","Axel Sandin Pellikka","DET","D","537","Doumi","Minors","20","","29.5","1.84","44%","-0.7%","16","1","3","-9","20","2","0","5","18"
"*05gda*","Kent Johnson","CBJ","F","558","Pleka","Minors","23","@EDM Mon 8:30PM","26.5","1.89","65%","-4.9%","14","2","2","-8","29","0","0","1","7"
"*05yli*","Pavel Mintyukov","ANA","D","566","Bigdawn","Minors","21","","25.5","1.7","35%","-0.7%","15","0","3","1","7","0","0","10","14"
"*05ui4*","Dalibor Dvorsky","STL","F","578","DJCarrot","Minors","20","","24","4","33%","+0.7%","6","2","0","-1","8","2","0","11","5"
"*04mx6*","Kaiden Guhle","MTL","D","585","DaddyX23","Inj Res","23","","23","4.6","42%","-0.5%","5","1","1","1","7","0","0","16","5"
"*04qxy*","Alexander Romanov","NYI","D","587","Mando18","Active","25","@NJD Mon 7:00PM","23","2.3","34%","-2.5%","10","0","0","-5","10","0","0","24","22"
"*04kyh*","Brady Tkachuk","OTT","F","597","DJCarrot","Inj Res","26","","21.5","7.17","96%","-0.2%","3","0","3","1","10","1","0","10","0"
"*061im*","Michael Misa","SJS","F","604","Fred_Lan","Minors","18","","20","2.86","57%","-0.9%","7","1","2","-1","13","0","0","2","5"
"*065nx*","Berkly Catton","SEA","F","608","Olilapat","Minors","19","","19.5","1.95","39%","-0.2%","10","0","3","1","10","1","0","1","5"
"*06amv*","Sam Dickinson","SJS","D","619","Bigdawn","Minors","19","","18","1.5","43%","-0.5%","12","1","0","-1","14","0","0","7","7"
"*06hco*","Zayne Parekh","CGY","D","650","DJCarrot","Minors","19","","15","1.36","67%","-4.1%","11","0","1","0","11","1","0","5","5"
"*06lvc*","Harrison Brunicke","PIT","D","662","Pouding_","Minors","19","","13.5","1.5","16%","-0.8%","9","1","0","-4","8","0","0","4","13"
"*06axz*","Bradly Nadeau","CAR","F","688","Olilapat","Minors","20","","12","2","29%","-0.3%","6","1","0","1","4","0","0","4","4"
"*03wpi*","Pierre-Luc Dubois","WSH","F","714","Mando18","Inj Res","27","","9","1.5","53%","-5.9%","6","0","0","0","9","0","0","6","3"
"*06rus*","Brady Martin","NSH","F","747","Bigdawn","Minors","18","@NYR Mon 7:00PM","5","1.67","34%","-0.3%","3","0","1","0","2","0","0","0","2"
"*05w9b*","Calum Ritchie","NYI","F","754","Doumi","Minors","20","@NJD Mon 7:00PM","4.5","0.9","30%","-0.5%","5","0","0","0","3","0","0","1","5"
"*05k9a*","Emil Andrae","PHI","D","752","SamBleau","Minors","23","","4.5","0.9","11%","-0.3%","5","0","0","0","4","0","0","5","0"
"*02b76*","Vincent Trocheck","NYR","F","771","Boeuf_","Inj Res","32","NSH Mon 7:00PM","3.5","1.75","86%","-0.7%","2","0","1","-2","1","0","0","1","3"
"*04uql*","Cole Perfetti","WPG","F","799","DJCarrot","Minors","23","","1","1","68%","-0.4%","1","0","0","0","1","0","0","0","1"
"*03uzr*","Matthew Tkachuk","FLA","F","7688","DJCarrot","Inj Res","27","@VGK Mon 10:00PM","0","0","92%","-0.1%","0","0","0","0","0","0","0","0","0"
"*01ztp*","Zach Hyman","EDM","F","3710","Pouding_","Inj Res","33","CBJ Mon 8:30PM","0","0","92%","+0.2%","0","0","0","0","0","0","0","0","0"
"*02un7*","Aleksander Barkov","FLA","F","1112","Pouding_","Inj Res","30","@VGK Mon 10:00PM","0","0","61%","-0.4%","0","0","0","0","0","0","0","0","0"
"*06ag2*","James Hagens","BOS","F","3282","Boeuf_","Minors","19","","0","0","39%","0%","0","0","0","0","0","0","0","0","0"
"*06jhd*","Anton Frondell","CHI","F","2876","DJCarrot","Minors","18","","0","0","39%","0%","0","0","0","0","0","0","0","0","0"
"*06axe*","Gabe Perreault","NYR","F","6087","Bigdawn","Minors","20","NSH Mon 7:00PM","0","0","38%","-1.1%","0","0","0","0","0","0","0","0","0"
"*06fzv*","Cole Hutson","WSH","D","3701","Olilapat","Minors","19","","0","0","38%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06hj9*","Porter Martone","PHI","F","5082","DJCarrot","Minors","19","","0","0","38%","-0.2%","0","0","0","0","0","0","0","0","0"
"*06jhc*","Tij Iginla","UTA","F","3720","DaddyX23","Minors","19","","0","0","37%","-0.1%","0","0","0","0","0","0","0","0","0"
"*06hcq*","Carter Yakemchuk","OTT","D","8279","Fred_Lan","Minors","20","","0","0","37%","-0.2%","0","0","0","0","0","0","0","0","0"
"*05tqu*","Logan Mailloux","STL","D","4969","Pleka","Minors","22","","0","0","36%","-1.5%","9","0","0","-12","5","0","0","13","6"
"*06loq*","Caleb Desnoyers","UTA","F","2301","DaddyX23","Minors","18","","0","0","36%","0%","0","0","0","0","0","0","0","0","0"
"*06ig3*","Cayden Lindstrom","CBJ","F","4746","Fred_Lan","Minors","19","@EDM Mon 8:30PM","0","0","34%","-0.1%","0","0","0","0","0","0","0","0","0"
"*05rjy*","Cole Eiserman","NYI","F","2509","Fred_Lan","Minors","19","@NJD Mon 7:00PM","0","0","32%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06imm*","Roger McQueen","ANA","F","5278","DaddyX23","Minors","19","","0","0","31%","-0.1%","0","0","0","0","0","0","0","0","0"
"*06nkc*","Jake OBrien","SEA","F","5792","Pouding_","Minors","18","","0","0","30%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06pyw*","Victor Eklund","NYI","F","2516","Mando18","Minors","19","@NJD Mon 7:00PM","0","0","29%","-0.1%","0","0","0","0","0","0","0","0","0"
"*067yd*","David Reinbacher","MTL","D","6525","SamBleau","Minors","21","","0","0","29%","-0.2%","0","0","0","0","0","0","0","0","0"
"*06pyp*","Radim Mrtka","BUF","D","5533","DaddyX23","Minors","18","","0","0","28%","0%","0","0","0","0","0","0","0","0","0"
"*064om*","Michael Hage","MTL","F","3278","DaddyX23","Minors","19","","0","0","28%","+0.2%","0","0","0","0","0","0","0","0","0"
"*05aa0*","Brayden Yager","WPG","F","8278","Fred_Lan","Minors","20","","0","0","27%","-0.1%","0","0","0","0","0","0","0","0","0"
"*06rqm*","Carter Bear","DET","F","1163","DaddyX23","Minors","19","","0","0","26%","0%","0","0","0","0","0","0","0","0","0"
"*06hcy*","Liam Greentree","LAK","F","3179","Pouding_","Minors","19","","0","0","26%","0%","0","0","0","0","0","0","0","0","0"
"*06pyk*","Justin Carbonneau","STL","F","1778","Pouding_","Minors","18","","0","0","26%","+0.2%","0","0","0","0","0","0","0","0","0"
"*06sqf*","Braeden Cootes","VAN","F","2039","DaddyX23","Minors","18","","0","0","25%","0%","3","0","0","-2","0","0","0","3","1"
"*066q4*","Konsta Helenius","BUF","F","3441","DJCarrot","Minors","19","","0","0","25%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06h8h*","Trevor Connelly","VGK","F","2021","Pouding_","Minors","19","FLA Mon 10:00PM","0","0","24%","0%","0","0","0","0","0","0","0","0","0"
"*06hcp*","Anton Silayev","NJD","D","7115","Fred_Lan","Minors","19","NYI Mon 7:00PM","0","0","24%","-0.1%","0","0","0","0","0","0","0","0","0"
"*06nke*","Jackson Smith","CBJ","D","7224","Mando18","Minors","18","@EDM Mon 8:30PM","0","0","24%","0%","0","0","0","0","0","0","0","0","0"
"*06spu*","Alexander Zharovsky","MTL","F","8377","MagicFac","Minors","18","","0","0","24%","+0.3%","0","0","0","0","0","0","0","0","0"
"*06sn9*","Kashawn Aitcheson","NYI","D","850","Bigdawn","Minors","19","@NJD Mon 7:00PM","0","0","24%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06maz*","Ilya Protas","WSH","F","6362","Pouding_","Minors","19","","0","0","23%","-0.1%","0","0","0","0","0","0","0","0","0"
"*06jhe*","Cole Reschny","CGY","F","6540","Fred_Lan","Minors","18","","0","0","22%","0%","0","0","0","0","0","0","0","0","0"
"*06snc*","Jack Nesbitt","PHI","F","5667","Olilapat","Minors","18","","0","0","19%","0%","0","0","0","0","0","0","0","0","0"
"*05yn1*","Jagger Firkus","SEA","F","2724","MagicFac","Minors","21","","0","0","19%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06snd*","Lynden Lakovic","WSH","F","4492","Doumi","Minors","18","","0","0","18%","0%","0","0","0","0","0","0","0","0","0"
"*06rut*","Cameron Reid","NSH","D","6515","Fred_Lan","Minors","18","@NYR Mon 7:00PM","0","0","17%","0%","0","0","0","0","0","0","0","0","0"
"*06pyr*","Cullen Potter","CGY","F","6311","Boeuf_","Minors","18","","0","0","16%","0%","0","0","0","0","0","0","0","0","0"
"*06pyz*","Bill Zonnon","PIT","F","8399","Pleka","Minors","19","","0","0","15%","+0.1%","0","0","0","0","0","0","0","0","0"
"*064n0*","Malcolm Spence","NYR","F","7301","Boeuf_","Minors","19","NSH Mon 7:00PM","0","0","15%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06loc*","Yegor Surin","NSH","F","7504","Pleka","Minors","19","@NYR Mon 7:00PM","0","0","15%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06pyi*","Logan Hensler","OTT","D","3482","Doumi","Minors","19","","0","0","15%","0%","0","0","0","0","0","0","0","0","0"
"*06lop*","Ivan Ryabkin","CAR","F","6740","MagicFac","Minors","18","","0","0","15%","-0.1%","0","0","0","0","0","0","0","0","0"
"*06axx*","William Horcoff","PIT","F","3612","Bigdawn","Minors","18","","0","0","14%","+0.4%","0","0","0","0","0","0","0","0","0"
"*06lor*","Sascha Boumedienne","WPG","D","1476","Olilapat","Minors","18","","0","0","14%","-0.1%","0","0","0","0","0","0","0","0","0"
"*06sqm*","Ryker Lee","NSH","F","4636","Mando18","Minors","19","@NYR Mon 7:00PM","0","0","14%","+0.1%","0","0","0","0","0","0","0","0","0"
"*05yfk*","Mikhail Gulyayev","COL","D","3230","Pleka","Minors","20","","0","0","13%","0%","0","0","0","0","0","0","0","0","0"
"*06pys*","Cameron Schmidt","DAL","F","6916","Olilapat","Minors","18","","0","0","13%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06sqp*","Vaclav Nestrasil","CHI","F","5671","SamBleau","Minors","18","","0","0","11%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06sqq*","Henry Brzustewicz","LAK","D","1632","MagicFac","Minors","18","","0","0","11%","+0.1%","0","0","0","0","0","0","0","0","0"
"*06cfs*","Florian Xhekaj","MTL","F","8276","DaddyX23","Minors","21","","0","0","7%","-0.1%","0","0","0","0","0","0","0","0","0"
"*06sq9*","Cooper Simpson","BOS","F","7137","Pouding_","Minors","18","","0","0","5%","0%","0","0","0","0","0","0","0","0","0"
"*058t9*","Seamus Casey","NJD","D","8418","Doumi","Minors","21","NYI Mon 7:00PM","-0.5","-0.25","29%","-1%","2","0","0","-3","4","0","0","0","1"
