"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*02yjj*","William Nylander","TOR","F","105","SamBleau","Active","29","PIT Mon 7:30PM","68.5","7.61","99%","-0.1%"
"*05kbn*","Will Cuylle","NYR","F","104","Olilapat","Reserve","23","","68.5","5.27","63%","-4.4%"
"*04ymt*","Lucas Raymond","DET","F","106","DJCarrot","Active","23","","68","6.18","98%","-0.7%"
"*05lu8*","Alexander Nikishin","CAR","D","107","Doumi","Active","24","","67.5","6.14","93%","-1.1%"
"*03rmx*","Sebastian Aho","CAR","F","109","Fred_Lan","Active","28","","67","6.09","99%","0%"
"*05r3d*","Josh Doan","BUF","F","110","Fred_Lan","Active","23","","67","5.58","51%","-10.1%"
"*02aez*","J.T. Miller","NYR","F","112","Doumi","Reserve","32","","66.5","5.12","99%","-0.6%"
"*03dms*","Kevin Fiala","LAK","F","111","SamBleau","Reserve","29","","66.5","5.12","96%","-0.5%"
"*051tx*","Aliaksei Protas","WSH","F","114","Doumi","Active","24","","66.5","5.54","90%","-2.8%"
"*0644b*","Will Smith","SJS","F","115","DJCarrot","Active","20","","66.5","5.12","81%","-2.4%"
"*03as9*","Dylan Strome","WSH","F","116","MagicFac","Reserve","28","","66","6.6","98%","-0.7%"
"*051wf*","Dustin Wolf","CGY","G","119","Pouding_","Reserve","24","","65.35","5.45","94%","-2%"
"*02np7*","Anthony Stolarz","TOR","G","120","Boeuf_","Active","31","PIT Mon 7:30PM","65.3","7.26","94%","-2.2%"
"*048x9*","Elias Pettersson","VAN","F","122","Doumi","Active","26","@NSH Mon 8:30PM","65","5","95%","0%"
"*03rih*","Karel Vejmelka","UTA","G","123","Pleka","Active","29","","64.9","7.21","88%","-1.5%"
"*03rfo*","Daniel Vladar","PHI","G","124","Olilapat","Active","28","","64.5","9.21","43%","-1.4%"
"*02un5*","Sam Reinhart","FLA","F","125","Pleka","Reserve","29","","64.5","5.38","99%","-0.2%"
"*03yg3*","Mikhail Sergachev","UTA","D","127","DaddyX23","Active","27","","64","5.33","98%","+0.3%"
"*03wpm*","Charlie McAvoy","BOS","D","126","Pleka","Active","27","","64","4.57","94%","+0.2%"
"*042yb*","Brandon Hagel","TBL","F","128","DJCarrot","Active","27","","63.5","5.29","97%","+0.1%"
"*02noq*","Mike Matheson","MTL","D","129","Mando18","Active","31","","63.5","5.29","85%","-1.8%"
"*04o0g*","Marco Rossi","MIN","F","130","Boeuf_","Reserve","24","","63.5","5.29","78%","0%"
"*05r50*","Mackie Samoskevich","FLA","F","131","Boeuf_","Minors","22","","63.5","5.29","53%","-4.7%"
"*03mqg*","Jakob Chychrun","WSH","D","133","MagicFac","Active","27","","63","5.25","96%","-0.3%"
"*038vb*","Travis Konecny","PHI","F","136","Boeuf_","Active","28","","63","5.25","93%","-0.7%"
"*04lo0*","Quinton Byfield","LAK","F","132","MagicFac","Minors","23","","63","4.85","92%","-2.1%"
"*04abd*","Artem Zub","OTT","D","137","Olilapat","Active","30","","63","4.85","41%","+1.9%"
"*04f24*","Jeremy Swayman","BOS","G","138","Mando18","Active","26","","62.75","7.84","85%","-3.1%"
"*05wwg*","Lane Hutson","MTL","D","143","Bigdawn","Active","21","","61.5","5.12","100%","0%"
"*03de2*","Brandon Montour","SEA","D","144","DaddyX23","Active","31","CHI Mon 10:00PM","61.5","8.79","95%","+1.3%"
"*04yqp*","Anton Lundell","FLA","F","146","Boeuf_","Active","24","","61","5.08","70%","-5.1%"
"*01c13*","Victor Hedman","TBL","D","150","Pleka","Active","34","","60.5","5.04","99%","-0.2%"
"*03rad*","Thomas Chabot","OTT","D","148","Bigdawn","Active","28","","60.5","4.65","87%","+0.7%"
"*025me*","Brenden Dillon","NJD","D","149","DaddyX23","Active","34","","60.5","4.65","38%","-3.1%"
"*02wy5*","Nikita Zadorov","BOS","D","151","SamBleau","Active","30","","60","4.29","50%","-5.4%"
"*016g3*","Erik Karlsson","PIT","D","154","Doumi","Active","35","@TOR Mon 7:30PM","59","4.54","87%","+3.2%"
"*04lc0*","Evan Bouchard","EDM","D","157","Boeuf_","Active","26","@STL Mon 8:30PM","58.5","4.5","99%","0%"
"*02uws*","Mathew Barzal","NYI","F","156","Pouding_","Active","28","","58.5","5.32","87%","+0.2%"
"*04ad7*","Rasmus Dahlin","BUF","D","159","Doumi","Active","25","","58","4.83","99%","-0.1%"
"*04zj5*","JJ Peterka","UTA","F","160","Bigdawn","Reserve","23","","58","4.83","88%","-0.4%"
"*01t68*","Cam Talbot","DET","G","161","Mando18","Reserve","38","","57.65","8.24","48%","-8.8%"
"*02yjp*","Ivan Barbashev","VGK","F","164","Boeuf_","Reserve","29","","57","5.18","68%","-3.1%"
"*04znw*","Brandt Clarke","LAK","D","167","MagicFac","Active","22","","56.5","4.35","79%","+2.7%"
"*03yh8*","Owen Tippett","PHI","F","168","DaddyX23","Active","26","","56.5","4.71","65%","-3.3%"
"*064r2*","Ivan Demidov","MTL","F","169","DJCarrot","Reserve","19","","56","4.67","96%","-0.3%"
"*0222k*","Darcy Kuemper","LAK","G","173","SamBleau","Active","35","","55.4","6.16","91%","-2%"
"*02b3o*","Rickard Rakell","PIT","F","175","SamBleau","Inj Res","32","@TOR Mon 7:30PM","55","6.11","83%","-5.7%"
"*02b70*","Nikita Kucherov","TBL","F","180","Pouding_","Active","32","","54.5","5.45","100%","-0.1%"
"*04yu5*","Thomas Harley","DAL","D","178","Boeuf_","Active","24","","54.5","4.54","99%","-0.2%"
"*05k8c*","Tyson Foerster","PHI","F","177","MagicFac","Minors","23","","54.5","4.95","40%","-2.1%"
"*02nom*","Andrei Vasilevskiy","TBL","G","183","Pleka","Reserve","31","","54.15","6.77","97%","-0.4%"
"*05ymj*","Jimmy Snuggerud","STL","F","187","Fred_Lan","Active","21","EDM Mon 8:30PM","54","4.5","70%","-4%"
"*05tv0*","Jackson Blake","CAR","F","184","Olilapat","Active","22","","54","4.91","49%","-5%"
"*051yz*","Dylan Holloway","STL","F","191","Olilapat","Active","24","EDM Mon 8:30PM","53.5","4.46","87%","-2.3%"
"*015pv*","John Carlson","WSH","D","196","Boeuf_","Active","35","","52.5","4.38","95%","-0.3%"
"*004cq*","Alex Ovechkin","WSH","F","198","SamBleau","Reserve","40","","52.5","4.38","95%","-0.5%"
"*042vx*","Filip Hronek","VAN","D","197","Doumi","Reserve","28","@NSH Mon 8:30PM","52.5","4.04","69%","-3.1%"
"*05gd8*","Mason McTavish","ANA","F","205","Mando18","Minors","22","","51.5","4.68","81%","-2.5%"
"*03rf2*","Roope Hintz","DAL","F","208","Pleka","Inj Res","28","","51","6.38","94%","-1.2%"
"*05gd9*","Zack Bolduc","MTL","F","207","SamBleau","Active","22","","51","4.25","62%","-8.4%"
"*02oar*","Linus Ullmark","OTT","G","213","Doumi","Active","32","","50.2","4.56","88%","-0.8%"
"*04ld3*","Noah Dobson","MTL","D","214","DaddyX23","Active","25","","50","4.17","96%","-0.3%"
"*0644f*","Ryan Leonard","WSH","F","216","DaddyX23","Minors","20","","50","4.17","57%","-3.1%"
"*04ymn*","Luke Hughes","NJD","D","228","Mando18","Active","22","","48","3.69","97%","-0.8%"
"*042vl*","Jordan Kyrou","STL","F","229","MagicFac","Active","27","EDM Mon 8:30PM","48","4","91%","-0.8%"
"*05rf2*","Logan Stankoven","CAR","F","239","Bigdawn","Minors","22","","47.5","4.32","66%","-3.3%"
"*059e5*","Jake Neighbours","STL","F","238","Fred_Lan","Inj Res","23","EDM Mon 8:30PM","47.5","5.94","64%","-7.7%"
"*01f3d*","Oliver Ekman-Larsson","TOR","D","233","MagicFac","Active","34","PIT Mon 7:30PM","47.5","3.96","62%","-3.4%"
"*05y7m*","Denton Mateychuk","CBJ","D","236","Olilapat","Inj Res","21","","47.5","3.96","45%","-2.5%"
"*05tcz*","Oliver Kapanen","MTL","F","235","MagicFac","Minors","22","","47.5","3.96","33%","-3.7%"
"*05nzz*","Simon Edvinsson","DET","D","242","Olilapat","Active","22","","46.5","3.58","61%","-1%"
"*024lv*","Mattias Ekholm","EDM","D","252","Pouding_","Active","35","@STL Mon 8:30PM","46","3.54","63%","+0.3%"
"*05ylt*","Zach Benson","BUF","F","250","Doumi","Minors","20","","46","5.75","62%","-8.2%"
"*05xrx*","Marco Kasper","DET","F","255","Pouding_","Minors","21","","46","3.54","59%","-4.1%"
"*04r01*","Akira Schmid","VGK","G","258","MagicFac","Minors","25","","45.8","7.63","49%","-3.7%"
"*03bfj*","Artemi Panarin","NYR","F","263","Pleka","Active","34","","45.5","3.5","97%","-0.7%"
"*05ltj*","Brock Faber","MIN","D","260","Pouding_","Minors","23","","45.5","3.5","76%","+5.1%"
"*06hcw*","Beckett Sennecke","ANA","F","264","Fred_Lan","Minors","19","","45.5","4.14","54%","-6.8%"
"*0322w*","Ilya Sorokin","NYI","G","267","Pleka","Active","30","","44.85","5.61","88%","-1.3%"
"*051m4*","Jackson LaCombe","ANA","D","271","Pouding_","Active","24","","44.5","4.05","94%","-1.5%"
"*04y80*","Shane Wright","SEA","F","274","Mando18","Minors","21","CHI Mon 10:00PM","44.5","4.05","53%","-5.1%"
"*04an5*","Miro Heiskanen","DAL","D","279","DJCarrot","Active","26","","44","3.67","96%","-0.7%"
"*031nx*","Shea Theodore","VGK","D","285","Pleka","Reserve","30","","43.5","3.95","96%","-0.8%"
"*03rf8*","Vince Dunn","SEA","D","283","Pleka","Active","29","CHI Mon 10:00PM","43.5","3.95","94%","-1.2%"
"*031v6*","MacKenzie Weegar","CGY","D","291","SamBleau","Reserve","31","","43","3.07","95%","-2%"
"*031p3*","Carter Verhaeghe","FLA","F","290","DaddyX23","Reserve","30","","43","3.58","84%","-2.6%"
"*01zql*","Brock Nelson","COL","F","299","Mando18","Active","34","","42.5","3.27","55%","-6.2%"
"*04lbz*","Quinn Hughes","VAN","D","302","Doumi","Active","26","@NSH Mon 8:30PM","42","4.67","100%","0%"
"*03dde*","Jake Walman","EDM","D","306","Fred_Lan","Active","29","@STL Mon 8:30PM","42","6","88%","-0.7%"
"*05r1i*","Matty Beniers","SEA","F","300","Pleka","Minors","22","CHI Mon 10:00PM","42","3.82","54%","-5%"
"*0579x*","Adam Fantilli","CBJ","F","307","Pouding_","Minors","21","","41.5","3.46","90%","-2.9%"
"*02npz*","Esa Lindell","DAL","D","308","Bigdawn","Reserve","31","","41.5","3.46","25%","-4.4%"
"*02noe*","Morgan Rielly","TOR","D","318","SamBleau","Active","31","PIT Mon 7:30PM","41","3.73","96%","-1.2%"
"*0243f*","Seth Jones","FLA","D","315","Mando18","Reserve","31","","41","3.42","88%","-1.2%"
"*03ecl*","Gustav Forsling","FLA","D","314","Boeuf_","Active","29","","41","3.42","64%","-6.6%"
"*02nq3*","Shayne Gostisbehere","CAR","D","322","DJCarrot","Active","32","","40.5","6.75","95%","-1.3%"
"*05ril*","Simon Nemec","NJD","D","324","Olilapat","Active","21","","40.5","3.12","49%","-0.7%"
"*03e1m*","Brayden Point","TBL","F","331","Doumi","Active","29","","39.5","3.29","99%","-0.4%"
"*04ldb*","Bowen Byram","BUF","D","335","Olilapat","Reserve","24","","39","3.25","54%","-2.7%"
"*03e7p*","Travis Sanheim","PHI","D","343","Olilapat","Active","29","","38.5","3.21","62%","-6.4%"
"*05kdw*","Ridly Greig","OTT","F","341","Boeuf_","Minors","23","","38.5","2.96","26%","-4.8%"
"*06bmb*","Zeev Buium","MIN","D","345","Mando18","Minors","19","","38","2.92","93%","-2.3%"
"*02g00*","Aaron Ekblad","FLA","D","354","Fred_Lan","Active","29","","37.5","3.12","90%","-3.6%"
"*02wy7*","Pavel Buchnevich","STL","F","353","Mando18","Active","30","EDM Mon 8:30PM","37.5","3.12","65%","-3.6%"
"*060jl*","Jiri Kulich","BUF","F","356","Olilapat","Reserve","21","","37.5","3.12","37%","-3.4%"
"*05gvo*","Matvei Michkov","PHI","F","364","Olilapat","Minors","20","","36.5","3.04","90%","-2.5%"
"*02nqb*","Colton Parayko","STL","D","365","SamBleau","Active","32","EDM Mon 8:30PM","36.5","3.04","76%","-3.1%"
"*062k9*","Noah Laba","NYR","F","363","Olilapat","Minors","22","","36.5","2.81","10%","-2.1%"
"*01d6c*","Jacob Markstrom","NJD","G","372","DJCarrot","Active","35","","35.7","7.14","90%","-1.4%"
"*06axy*","Artyom Levshunov","CHI","D","373","Mando18","Minors","20","@SEA Mon 10:00PM","35.5","3.23","53%","-3.5%"
"*01fx3*","Roman Josi","NSH","D","376","Doumi","Inj Res","35","VAN Mon 8:30PM","35","4.38","96%","-1.6%"
"*05yms*","Sam Rinzel","CHI","D","378","Pouding_","Active","21","@SEA Mon 10:00PM","35","2.92","76%","-5.2%"
"*04ymm*","Aatu Raty","VAN","F","377","SamBleau","Minors","22","@NSH Mon 8:30PM","35","3.18","20%","-2.4%"
"*04ai3*","Kevin Lankinen","VAN","G","380","Pouding_","Active","30","@NSH Mon 8:30PM","34.55","6.91","29%","-6.4%"
"*03ec6*","Devon Toews","COL","D","388","Pouding_","Reserve","31","","34","2.62","73%","-2.9%"
"*0529k*","Yaroslav Askarov","SJS","G","397","Mando18","Minors","23","","33.05","4.72","58%","-5.2%"
"*039cg*","Sam Bennett","FLA","F","399","DaddyX23","Reserve","29","","33","2.75","74%","-4.4%"
"*04xjf*","Owen Power","BUF","D","408","DJCarrot","Reserve","22","","32.5","2.95","62%","-4.1%"
"*04qve*","KAndre Miller","CAR","D","407","Pleka","Inj Res","25","","32.5","5.42","62%","-9%"
"*05tas*","Olen Zellweger","ANA","D","410","Olilapat","Minors","22","","32.5","2.95","49%","-4.9%"
"*04apb*","Robert Thomas","STL","F","414","Mando18","Reserve","26","EDM Mon 8:30PM","32","4","95%","-1.4%"
"*06snb*","Benjamin Kindel","PIT","F","421","DJCarrot","Minors","18","@TOR Mon 7:30PM","31.5","2.86","27%","-2.6%"
"*03wpo*","Dante Fabbro","CBJ","D","417","Bigdawn","Active","27","","31.5","2.62","13%","-2.6%"
"*03as8*","Nikolaj Ehlers","CAR","F","426","DJCarrot","Reserve","29","","31","2.82","86%","-2.7%"
"*03as6*","Jared McCann","SEA","F","433","Fred_Lan","Active","29","CHI Mon 10:00PM","30.5","6.1","77%","-3.6%"
"*060hp*","Lian Bichsel","DAL","D","431","MagicFac","Minors","21","","30.5","2.54","41%","-5.5%"
"*06bap*","Easton Cowan","TOR","F","432","DJCarrot","Minors","20","PIT Mon 7:30PM","30.5","3.39","38%","-3.9%"
"*04yn0*","Connor McMichael","WSH","F","445","DaddyX23","Reserve","24","","29.5","2.46","56%","-5.2%"
"*060jj*","Jani Nyman","SEA","F","447","Pouding_","Minors","21","CHI Mon 10:00PM","29.5","2.95","26%","-4.1%"
"*067xz*","Axel Sandin Pellikka","DET","D","485","Doumi","Minors","20","","27.5","2.12","45%","-3.6%"
"*05ran*","Matt Coronato","CGY","F","489","Boeuf_","Minors","22","","27","2.08","50%","-6.6%"
"*01zu8*","John Klingberg","SJS","D","498","Fred_Lan","Active","33","","26.5","3.79","44%","-3%"
"*04zp9*","Mavrik Bourque","DAL","F","496","DaddyX23","Minors","23","","26.5","2.21","33%","-4.6%"
"*05gda*","Kent Johnson","CBJ","F","506","Pleka","Minors","23","","26","2.17","70%","-2.2%"
"*04mx6*","Kaiden Guhle","MTL","D","539","DaddyX23","Inj Res","23","","23","4.6","42%","-3.9%"
"*05yli*","Pavel Mintyukov","ANA","D","541","Bigdawn","Minors","21","","23","2.09","36%","-2.9%"
"*04kyh*","Brady Tkachuk","OTT","F","551","DJCarrot","Inj Res","26","","21.5","7.17","97%","-0.4%"
"*04qxy*","Alexander Romanov","NYI","D","558","Mando18","Active","25","","20.5","2.93","36%","-3.6%"
"*061im*","Michael Misa","SJS","F","560","Fred_Lan","Minors","18","","20","2.86","58%","-2.5%"
"*03rfp*","Sam Montembeault","MTL","G","561","Boeuf_","Active","29","","19.75","3.29","85%","-6.7%"
"*03mkm*","Adin Hill","VGK","G","562","DJCarrot","Reserve","29","","19.55","3.91","92%","-2.8%"
"*065nx*","Berkly Catton","SEA","F","587","Olilapat","Minors","19","CHI Mon 10:00PM","17.5","2.92","39%","-2.9%"
"*06lvc*","Harrison Brunicke","PIT","D","614","Pouding_","Minors","19","@TOR Mon 7:30PM","15","1.88","17%","-3.4%"
"*06hco*","Zayne Parekh","CGY","D","621","DJCarrot","Minors","19","","14.5","1.45","71%","-4.9%"
"*06amv*","Sam Dickinson","SJS","D","620","Bigdawn","Minors","19","","14.5","1.45","43%","-3.5%"
"*04yg5*","Jesper Wallstedt","MIN","G","631","DJCarrot","Minors","22","","13.05","4.35","41%","-7.4%"
"*0457i*","Ukko-Pekka Luukkonen","BUF","G","641","Doumi","Reserve","26","","12.5","6.25","63%","-4.2%"
"*06axz*","Bradly Nadeau","CAR","F","669","Olilapat","Minors","20","","9.5","2.38","28%","-3%"
"*03wpi*","Pierre-Luc Dubois","WSH","F","673","Mando18","Reserve","27","","9","1.5","60%","-5.1%"
