"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*02f9l*","Nathan MacKinnon","COL","F","1","Mando18","Active","30","","133","10.23","100%","0%"
"*03924*","Jack Eichel","VGK","F","2","Boeuf_","Reserve","29","","120","10.91","100%","0%"
"*04alw*","Cale Makar","COL","D","3","DJCarrot","Active","27","","117.5","9.04","100%","-0.1%"
"*02azb*","Mark Scheifele","WPG","F","4","Fred_Lan","Reserve","32","","113.5","9.46","100%","+0.1%"
"*03kra*","Kyle Connor","WPG","F","5","DaddyX23","Active","28","","112.5","9.38","100%","0%"
"*03d12*","David Pastrnak","BOS","F","6","SamBleau","Active","29","","112.5","8.04","100%","0%"
"*03duf*","Dylan Larkin","DET","F","7","MagicFac","Reserve","29","","109","8.38","99%","+0.1%"
"*02yjl*","Leon Draisaitl","EDM","F","8","Pleka","Active","30","@STL Mon 8:30PM","108","8.31","100%","0%"
"*049k7*","Martin Necas","COL","F","10","DaddyX23","Active","26","","106.5","8.19","100%","-0.1%"
"*05w9c*","Macklin Celebrini","SJS","F","9","Mando18","Active","19","","106.5","8.19","100%","+0.1%"
"*03e1n*","Adrian Kempe","LAK","F","12","Fred_Lan","Active","29","","105.5","8.12","100%","0%"
"*04mv2*","Cole Caufield","MTL","F","11","MagicFac","Active","24","","105.5","8.79","100%","+0.2%"
"*02unz*","Nick Schmaltz","UTA","F","13","Fred_Lan","Reserve","29","","102.5","8.54","93%","-1%"
"*04bdb*","Jack Hughes","NJD","F","14","Mando18","Active","24","","102","7.85","100%","0%"
"*00454*","Sidney Crosby","PIT","F","15","Pleka","Active","38","@TOR Mon 7:30PM","101","7.77","100%","0%"
"*048xc*","Nick Suzuki","MTL","F","16","Pouding_","Active","26","","99","8.25","100%","-0.1%"
"*05gtp*","Dawson Mercer","NJD","F","17","Pleka","Active","24","","97.5","7.5","74%","+5.1%"
"*0045k*","Evgeni Malkin","PIT","F","18","MagicFac","Active","39","@TOR Mon 7:30PM","96.5","7.42","88%","+0.3%"
"*051z0*","Tim Stutzle","OTT","F","20","Boeuf_","Active","23","","96","7.38","100%","+0.1%"
"*05rjd*","Cutter Gauthier","ANA","F","19","DJCarrot","Active","21","","96","8.73","90%","+4.6%"
"*03rh3*","Kirill Kaprizov","MIN","F","21","Doumi","Active","28","","94","7.23","100%","-0.1%"
"*02noj*","Tom Wilson","WSH","F","22","Boeuf_","Reserve","31","","93.5","7.79","92%","-0.3%"
"*05y3a*","Leo Carlsson","ANA","F","23","Mando18","Minors","20","","93","8.45","92%","+4.5%"
"*02o7s*","Connor Hellebuyck","WPG","G","24","Fred_Lan","Active","32","","92.7","10.3","100%","-0.2%"
"*04y4m*","Connor Bedard","CHI","F","25","Olilapat","Active","20","@SEA Mon 10:00PM","92","7.67","100%","+0.1%"
"*04qy5*","Kirill Marchenko","CBJ","F","27","DJCarrot","Active","25","","91.5","7.62","99%","-0.3%"
"*03167*","Bo Horvat","NYI","F","26","SamBleau","Active","30","","91.5","7.62","91%","0%"
"*02un4*","Connor McDavid","EDM","F","28","Pleka","Active","28","@STL Mon 8:30PM","90.5","6.96","100%","-0.1%"
"*031pl*","Juuse Saros","NSH","G","29","Doumi","Active","30","VAN Mon 8:30PM","90.3","8.21","91%","-0.9%"
"*05tur*","Matthew Knies","TOR","F","30","Bigdawn","Active","23","PIT Mon 7:30PM","90","7.5","99%","+0.1%"
"*04ln4*","Kiefer Sherwood","VAN","F","31","Pleka","Active","30","@NSH Mon 8:30PM","89.5","6.88","70%","+3.8%"
"*01c12*","John Tavares","TOR","F","33","SamBleau","Active","35","PIT Mon 7:30PM","89","7.42","100%","0%"
"*03jxy*","Auston Matthews","TOR","F","32","Bigdawn","Active","28","PIT Mon 7:30PM","89","7.42","99%","-0.1%"
"*03v70*","Alex DeBrincat","DET","F","34","Boeuf_","Active","27","","88","6.77","97%","0%"
"*0457k*","Jake Oettinger","DAL","G","35","Pouding_","Active","26","","87.45","9.72","99%","0%"
"*04qyv*","Lukas Dostal","ANA","G","36","DJCarrot","Active","25","","87.4","9.71","82%","+1.4%"
"*03mn9*","Mikko Rantanen","DAL","F","38","MagicFac","Active","29","","87","7.25","99%","0%"
"*04f2d*","Drake Batherson","OTT","F","37","Pleka","Reserve","27","","87","8.7","96%","+1%"
"*03ra7*","Zach Werenski","CBJ","D","39","MagicFac","Reserve","28","","86","7.17","100%","-0.1%"
"*04xec*","Matt Boldy","MIN","F","40","Doumi","Reserve","24","","85.5","6.58","100%","0%"
"*04o0h*","Dylan Guenther","UTA","F","42","Olilapat","Active","22","","84.5","7.04","100%","+0.2%"
"*05ui2*","Logan Cooley","UTA","F","43","Pouding_","Active","21","","84","7","99%","+0.4%"
"*051lz*","Shane Pinto","OTT","F","44","Olilapat","Active","24","","84","6.46","83%","-4.6%"
"*03ece*","Igor Shesterkin","NYR","G","45","DaddyX23","Active","29","","83.45","8.34","95%","0%"
"*042t5*","Tage Thompson","BUF","F","48","Doumi","Active","28","","82.5","6.88","100%","-0.1%"
"*04mtp*","Dylan Cozens","OTT","F","46","Bigdawn","Reserve","24","","82.5","6.35","90%","-1.3%"
"*02ybk*","Artturi Lehkonen","COL","F","47","DaddyX23","Active","30","","82.5","6.35","84%","-2.2%"
"*05tqt*","Wyatt Johnston","DAL","F","49","DJCarrot","Active","22","","82","6.83","100%","+0.1%"
"*01zs1*","Scott Wedgewood","COL","G","50","MagicFac","Active","33","","81.75","7.43","76%","-6%"
"*03jw0*","Joey Daccord","SEA","G","51","MagicFac","Active","29","CHI Mon 10:00PM","81.25","9.03","90%","+0.6%"
"*04bii*","Spencer Knight","CHI","G","52","DaddyX23","Active","24","@SEA Mon 10:00PM","80.95","8.99","79%","-1%"
"*03rik*","Troy Terry","ANA","F","53","Pouding_","Reserve","28","","80.5","7.32","78%","+14%"
"*04zo0*","Pavel Dorofeyev","VGK","F","54","Pouding_","Active","25","","80","7.27","97%","-1.1%"
"*05m17*","Frank Nazar","CHI","F","55","Bigdawn","Active","21","@SEA Mon 10:00PM","80","6.67","89%","-2%"
"*048w3*","Justin Brazeau","PIT","F","56","SamBleau","Reserve","27","@TOR Mon 7:30PM","79.5","6.62","59%","+1%"
"*042ye*","Jesper Bratt","NJD","F","57","Pouding_","Active","27","","78.5","6.04","100%","-0.1%"
"*04dwj*","Jason Robertson","DAL","F","59","Bigdawn","Active","26","","78.5","6.54","100%","-0.1%"
"*050rc*","Dmitry Voronkov","CBJ","F","60","Olilapat","Active","25","","78.5","6.54","76%","-1.2%"
"*059e0*","Jake Sanderson","OTT","D","61","Mando18","Active","23","","78","6","100%","+0.2%"
"*05gvq*","Seth Jarvis","CAR","F","62","DaddyX23","Active","23","","77.5","7.05","99%","0%"
"*03w5m*","Gabriel Vilardi","WPG","F","63","Fred_Lan","Reserve","26","","77.5","6.46","89%","+0.1%"
"*03ra8*","Timo Meier","NJD","F","64","SamBleau","Active","29","","77","5.92","91%","-1.2%"
"*04mdc*","Logan Thompson","WSH","G","65","Bigdawn","Active","28","","76.85","9.61","97%","-0.2%"
"*05r1c*","Juraj Slafkovsky","MTL","F","66","Olilapat","Reserve","21","","76.5","6.38","90%","-0.7%"
"*03jvu*","Mitch Marner","VGK","F","68","MagicFac","Active","28","","76","6.91","99%","-0.1%"
"*02fzm*","Filip Forsberg","NSH","F","67","Doumi","Reserve","31","VAN Mon 8:30PM","76","5.85","99%","-0.2%"
"*03zul*","Filip Gustavsson","MIN","G","69","Fred_Lan","Active","27","","75.85","7.59","98%","-0.8%"
"*03d09*","Alex Tuch","BUF","F","72","Fred_Lan","Active","29","","75.5","6.29","96%","+0.8%"
"*03rfl*","Anthony Cirelli","TBL","F","70","Boeuf_","Active","28","","75.5","6.29","62%","+4.2%"
"*05kua*","Emil Heineman","NYI","F","71","Fred_Lan","Minors","23","","75.5","6.29","49%","-1.3%"
"*042w4*","Adam Fox","NYR","D","73","DJCarrot","Active","27","","75","5.77","100%","0%"
"*004jl*","Brad Marchand","FLA","F","74","MagicFac","Active","37","","75","6.82","95%","-0.3%"
"*02ybn*","Josh Morrissey","WPG","D","75","Pleka","Active","30","","74.5","6.21","100%","+0.3%"
"*06gk0*","Matthew Schaefer","NYI","D","76","SamBleau","Active","18","","74.5","6.21","96%","-0.8%"
"*04y8g*","Trevor Zegras","PHI","F","77","Bigdawn","Active","24","","74.5","6.21","84%","+13.3%"
"*03as7*","Thatcher Demko","VAN","G","80","Bigdawn","Active","29","@NSH Mon 8:30PM","72.95","9.12","94%","-0.8%"
"*031p0*","Jake Guentzel","TBL","F","82","Mando18","Active","31","","72.5","6.04","99%","-0.1%"
"*03mn8*","Clayton Keller","UTA","F","84","Doumi","Active","27","","72","6","100%","0%"
"*01zvf*","Mark Stone","VGK","F","86","Fred_Lan","Inj Res","33","","72","12","92%","-1.3%"
"*03m26*","Conor Garland","VAN","F","83","DaddyX23","Active","29","@NSH Mon 8:30PM","72","6.55","65%","-4.4%"
"*051v4*","Arturs Silovs","PIT","G","85","Olilapat","Active","24","@TOR Mon 7:30PM","72","10.29","57%","-4.6%"
"*05oxs*","Jakub Dobes","MTL","G","87","DaddyX23","Reserve","24","","71.55","11.92","72%","-0.5%"
"*0457f*","Nico Hischier","NJD","F","88","Bigdawn","Active","26","","71.5","5.5","98%","-0.3%"
"*01ud1*","Sergei Bobrovsky","FLA","G","89","MagicFac","Reserve","37","","71.15","7.91","95%","-0.1%"
"*03l0t*","Pavel Zacha","BOS","F","91","Bigdawn","Reserve","28","","70.5","5.04","62%","-4.2%"
"*02azf*","Dougie Hamilton","NJD","D","93","Fred_Lan","Active","32","","70","5.38","93%","+0.8%"
"*05r1l*","William Eklund","SJS","F","92","Doumi","Minors","23","","70","5.83","88%","+2.3%"
"*03161*","Darnell Nurse","EDM","D","95","MagicFac","Active","30","@STL Mon 8:30PM","70","5.38","78%","+1%"
"*02dq3*","Jacob Trouba","ANA","D","96","Bigdawn","Active","31","","70","6.36","57%","+4.6%"
"*02422*","Ryan Nugent-Hopkins","EDM","F","98","Boeuf_","Active","32","@STL Mon 8:30PM","69.5","5.35","94%","-0.9%"
"*06cl1*","Emmitt Finnie","DET","F","97","Pleka","Minors","20","","69.5","5.35","60%","-5.5%"
"*03ebi*","Elvis Merzlikins","CBJ","G","99","Mando18","Active","31","","69.1","11.52","49%","+5.5%"
"*04zb4*","Moritz Seider","DET","D","102","Pouding_","Active","24","","69","5.31","97%","-0.4%"
"*03rae*","Joel Eriksson Ek","MIN","F","100","Pouding_","Reserve","28","","69","5.31","89%","-1.6%"
"*03yxp*","Stuart Skinner","EDM","G","103","SamBleau","Active","27","@STL Mon 8:30PM","68.6","7.62","89%","-2%"
